Name of Station,,Search Terms,,Exclude list (discard whole input tweet),Exclude list (single word terms),,,,,
Aldgate,,Aldgate,,,,,,,,
Aldgate East,,,,,,,,,,
Angel,,Angel,,,,,,,,
Angel,,Islington,,,,,,,,
Baker Street,,Baker Street,,,"Sherlock, Holmes, Gerry, Rafferty",,,,,"Sherlock, Holmes, Gerry, Rafferty"
Bank,,,,,,,,,,
Barbican,,Barbican,,,,,,,,
Blackfriars,,Blackfriars,,,,,,,,
Bond Street,,Bond Street,,,,,,,,
Borough,,,,,,,,,,
Cannon Street,,Cannon Street,,,,,,,,
Chancery Lane,,Chancery Lane,,,,,,,,
Charing Cross,,Charing Cross,,,,,,,,
Charing Cross,,Trafalgar Square,,,,,,,,
Covent Garden,,Covent Garden,,,,,,,,
Earls Court,,Earl Court,,,,,,,,
Edgeware Road,,Edgeware,,,,,,,,
Edgeware Road,,Edgeware,,,,,,,,
Elephant & Castle,,Elephant Castle,,,,,,,,
Embankment,,Embankment,,,,,,,,
Euston,,Euston,,,,,,,,
Euston Square,,,,,,,,,,
Farringdon,,Farringdon,,,,,,,,
Gloucester Road,,Gloucester Road,,,,,,,,
Great Portland Street,,Great Portland Street,,,,,,,,
Green Park,,Green Park,,,,,,,,
High Street Kensington,,Kensington,,,,,,,,
Holborn,,Holborn,,,,,,,,
Hoxton,,Hoxton,,,,,,,,
Hyde Park Corner,,Hyde Park,,,,,,,,
Kings Cross / St.P,,Kings Cross,,,,,,,,
Knightsbridge,,Knightsbridge,,,,,,,,
Lambeth North,,Lambeth,,,,,,,,
Lancaster Gate,,Lancaster Gate,,,,,,,,
Leicester Square,,Leicester Square,,,,,,,,
Liverpool Street,,Liverpool Street,,,,,,,,
London Bridge,,London Bridge,,,"Falling, Down",,,,,
Mansion House,,,,,,,,,,
Marble Arch,,Marble Arch,,,,,,,,
Marlybone,,Marlybone,,,,,,,,
Monument,,,,,,,,,,
Moorgate,,,,,,,,,,
Notting Hill Gate,,Notting Hill,,,"Film, Watch, See, Hugh, Grant",,,,,
Old Street,,Old Street,,,,,,,,
Oxford Circus,,Oxford Circus,,,,,,,,
Paddington,,Paddington,,Bear,,,,,,
Piccadilly Circus,,Piccadilly circus,,,,,,,,
Pimlico,,Pimlico,,,,,,,,
Queensway,,Queensway,,,,,,,,
Shoreditch High Street,,Shoreditch,,,,,,,,
Sloane Square,,Sloane Square,,,,,,,,
South Kensington,,South Kensington,,,,,,,,
Southwark,,Southwark,,,,,,,,
St.James Park,,James Park,,,,,,,,
St.Pauls,,St Paul,,,Cathedral,,,,,
Temple,,,,,,,,,,
Tottenham Court Road,,Tottenham Court Road,,,,,,,,
Tower Gateway,,,,,,,,,,
Tower Hill,,Tower Hill,,,,,,,,
Vauxhall,,,,"Drive, Car",,,,,,
Victoria,,,,,,,,,,
Warren Street,,Warren Street,,,,,,,,
Waterloo,,Waterloo,,"Battle, Napoleon, Abba",,,,,,
Westminster,,Westminster,,,"Abbey, Cathedral, Today",,,,,
